"DonorType","DonorName"
"Bilateral_members","Australia"
"Bilateral_members","Austria"
"Bilateral_members","Azerbaijan"
"Bilateral_members","Belgium"
"Bilateral_members","Canada"
"Bilateral_members","Croatia"
"Bilateral_members","Czechia"
"Bilateral_members","Denmark"
"Bilateral_members","Estonia"
"Bilateral_members","EU Institutions"
"Bilateral_members","Finland"
"Bilateral_members","France"
"Bilateral_members","Germany"
"Bilateral_members","Greece"
"Bilateral_members","Hungary"
"Bilateral_members","Iceland"
"Bilateral_members","Ireland"
"Bilateral_members","Italy"
"Bilateral_members","Japan"
"Bilateral_members","Kazakhstan"
"Bilateral_members","Korea"
"Bilateral_members","Kuwait"
"Bilateral_members","Latvia"
"Bilateral_members","Liechtenstein"
"Bilateral_members","Lithuania"
"Bilateral_members","Luxembourg"
"Bilateral_members","Netherlands"
"Bilateral_members","New Zealand"
"Bilateral_members","Norway"
"Bilateral_members","Poland"
"Bilateral_members","Portugal"
"Bilateral_members","Qatar"
"Bilateral_members","Romania"
"Bilateral_members","Slovak Republic"
"Bilateral_members","Slovenia"
"Bilateral_members","Spain"
"Bilateral_members","Sweden"
"Bilateral_members","Switzerland"
"Bilateral_members","United Arab Emirates"
"Bilateral_members","United Kingdom"
"Bilateral_members","United States"
"Multilateral_donors","Adaptation Fund"
"Multilateral_donors","Arab Fund (AFESD)"
"Multilateral_donors","Caribbean Development Bank"
"Multilateral_donors","Central Emergency Response Fund"
"Multilateral_donors","Climate Investment Funds"
"Multilateral_donors","Council of Europe Development Bank"
"Multilateral_donors","Food and Agriculture Organisation"
"Multilateral_donors","Global Environment Facility"
"Multilateral_donors","Green Climate Fund"
"Multilateral_donors","IFAD"
"Multilateral_donors","IMF Resilience and Sustainability Trust"
"Multilateral_donors","International Development Association"
"Multilateral_donors","International Labour Organisation"
"Multilateral_donors","Nordic Development Fund"
"Multilateral_donors","OPEC Fund for International Development"
"Multilateral_donors","Private Infrastructure Development Group"
"Multilateral_donors","UN Capital Development Fund"
"Multilateral_donors","UN Economic and Social Commission for Western Asia"
"Multilateral_donors","UN Peacebuilding Fund"
"Multilateral_donors","UNDP"
"Multilateral_donors","UNECE"
"Multilateral_donors","UNEP"
"Multilateral_donors","UNFPA"
"Multilateral_donors","UNICEF"
"Multilateral_donors","UNRWA"
"Multilateral_donors","World Health Organisation"
"Multilateral_donors","World Tourism Organisation"
"Other","Arcadia"
"Other","Bezos Earth Fund"
"Other","Bloomberg Family Foundation"
"Other","Carnegie Corporation of New York"
"Other","CGIAR"
"Other","Charity Projects Ltd (Comic Relief)"
"Other","Children's Investment Fund Foundation"
"Other","Citi Foundation"
"Other","Conrad N. Hilton Foundation"
"Other","David and Lucile Packard Foundation"
"Other","Dutch Postcode Lottery"
"Other","Eurasian Fund for Stabilization and Development"
"Other","Fondation Botnar"
"Other","Ford Foundation"
"Other","Gates Foundation"
"Other","Gatsby Charitable Foundation"
"Other","German Postcode Lottery"
"Other","Global Green Growth Institute"
"Other","Good Ventures Foundation"
"Other","Gordon and Betty Moore Foundation"
"Other","H&M Foundation"
"Other","Howard G. Buffett Foundation"
"Other","IKEA Foundation"
"Other","International Centre for Genetic Engineering and Biotechnology"
"Other","John D. and Catherine T. MacArthur Foundation"
"Other","Joint Sustainable Development Goals Fund"
"Other","La Caixa Banking Foundation"
"Other","Laudes Foundation"
"Other","Leona M. and Harry B. Helmsley Charitable Trust"
"Other","Margaret A. Cargill Foundation"
"Other","Mastercard Foundation"
"Other","MAVA Foundation"
"Other","McKnight Foundation"
"Other","Monaco"
"Other","Norwegian Postcode Lottery"
"Other","Oak Foundation"
"Other","Open Society Foundations"
"Other","People's Postcode Lottery"
"Other","Rockefeller Foundation"
"Other","Swedish Postcode Lottery"
"Other","UBS Optimus Foundation"
"Other","United Nations Conference on Trade and Development"
"Other","Van Leer Foundation"
"Other","Wellcome Trust"
"Other","William and Flora Hewlett Foundation"
"Other","World Diabetes Foundation"
