"DonorName","DonorType","Total_Commitments"
"Adaptation Fund","Multilateral_donors",1.048835357
"Arab Fund (AFESD)","Multilateral_donors",0.100997081
"Arcadia","Other",0.002205804
"Australia","Bilateral_members",9.819980355
"Austria","Bilateral_members",1.000731588
"Azerbaijan","Bilateral_members",8.195e-06
"Belgium","Bilateral_members",6.37746528600001
"Bezos Earth Fund","Other",0.150966422
"Bloomberg Family Foundation","Other",0.155005337
"CGIAR","Other",0.267661325
"Canada","Bilateral_members",9.60446752300001
"Caribbean Development Bank","Multilateral_donors",0.403757808
"Carnegie Corporation of New York","Other",0.004464277
"Central Emergency Response Fund","Multilateral_donors",0.113473
"Charity Projects Ltd (Comic Relief)","Other",0.000426595
"Children's Investment Fund Foundation","Other",0.003876699
"Citi Foundation","Other",0.009876857
"Climate Investment Funds","Multilateral_donors",1.476123053
"Conrad N. Hilton Foundation","Other",0.000859772
"Council of Europe Development Bank","Multilateral_donors",0.489081365
"Croatia","Bilateral_members",0.001438785
"Czechia","Bilateral_members",0.088292563
"David and Lucile Packard Foundation","Other",0.359298829
"Denmark","Bilateral_members",5.93689386199999
"Dutch Postcode Lottery","Other",0.595763914
"EU Institutions","Bilateral_members",55.974116276
"Estonia","Bilateral_members",0.005752156
"Eurasian Fund for Stabilization and Development","Other",0
"Finland","Bilateral_members",4.251057493
"Fondation Botnar","Other",0.033677655
"Food and Agriculture Organisation","Multilateral_donors",0.496888635999999
"Ford Foundation","Other",0.102344292
"France","Bilateral_members",35.695859361
"Gates Foundation","Other",2.302056609
"Gatsby Charitable Foundation","Other",0.017152431
"German Postcode Lottery","Other",0.00406579
"Germany","Bilateral_members",66.3370695160001
"Global Environment Facility","Multilateral_donors",6.661456615
"Global Green Growth Institute","Other",0.052723665
"Good Ventures Foundation","Other",0.008350191
"Gordon and Betty Moore Foundation","Other",0.108601007
"Greece","Bilateral_members",0.02205369
"Green Climate Fund","Multilateral_donors",1.867563681
"H&M Foundation","Other",0.005152904
"Howard G. Buffett Foundation","Other",0.247000248
"Hungary","Bilateral_members",0.062854083
"IFAD","Multilateral_donors",6.02785181
"IKEA Foundation","Other",0.59328361
"IMF Resilience and Sustainability Trust","Multilateral_donors",6.535520125
"Iceland","Bilateral_members",0.203212132
"International Centre for Genetic Engineering and Biotechnology","Other",5.401e-05
"International Development Association","Multilateral_donors",0.179775304
"International Labour Organisation","Multilateral_donors",0.002352234
"Ireland","Bilateral_members",1.63153093
"Italy","Bilateral_members",3.449631437
"Japan","Bilateral_members",39.7247732489999
"John D. and Catherine T. MacArthur Foundation","Other",0.056152198
"Joint Sustainable Development Goals Fund","Other",0.000749918
"Kazakhstan","Bilateral_members",0.002487938
"Korea","Bilateral_members",10.057646948
"Kuwait","Bilateral_members",0
"La Caixa Banking Foundation","Other",0.001802263
"Latvia","Bilateral_members",0.000509147
"Laudes Foundation","Other",0.032241329
"Leona M. and Harry B. Helmsley Charitable Trust","Other",0.068028869
"Liechtenstein","Bilateral_members",0.022311853
"Lithuania","Bilateral_members",0.015922197
"Luxembourg","Bilateral_members",0.444330992
"MAVA Foundation","Other",0.054945994
"Margaret A. Cargill Foundation","Other",0.113841997
"Mastercard Foundation","Other",0.653152501
"McKnight Foundation","Other",0.015516947
"Monaco","Other",0.014080635
"Netherlands","Bilateral_members",18.947709061
"New Zealand","Bilateral_members",1.347102757
"Nordic Development Fund","Multilateral_donors",0.716900388
"Norway","Bilateral_members",3.81042365
"Norwegian Postcode Lottery","Other",0.022791053
"OPEC Fund for International Development","Multilateral_donors",0.264596202
"Oak Foundation","Other",0.244978401
"Open Society Foundations","Other",0.119956873
"People's Postcode Lottery","Other",0.224382109
"Poland","Bilateral_members",0.143669648
"Portugal","Bilateral_members",0.051726761
"Private Infrastructure Development Group","Multilateral_donors",0.163977151
"Qatar","Bilateral_members",0.0283984
"Rockefeller Foundation","Other",0.138098901
"Romania","Bilateral_members",0.001094694
"Slovak Republic","Bilateral_members",0.010693321
"Slovenia","Bilateral_members",0.035987338
"Spain","Bilateral_members",2.69874347699999
"Sweden","Bilateral_members",8.82594593899998
"Swedish Postcode Lottery","Other",0.086570866
"Switzerland","Bilateral_members",6.032151538
"UBS Optimus Foundation","Other",0.054136356
"UN Capital Development Fund","Multilateral_donors",5.495e-06
"UN Economic and Social Commission for Western Asia","Multilateral_donors",0.000678336
"UN Peacebuilding Fund","Multilateral_donors",0.004694497
"UNDP","Multilateral_donors",0.037831284
"UNECE","Multilateral_donors",7.609e-06
"UNEP","Multilateral_donors",0.023885494
"UNFPA","Multilateral_donors",0.034172577
"UNICEF","Multilateral_donors",0.002337
"UNRWA","Multilateral_donors",0.008598848
"United Arab Emirates","Bilateral_members",0.940322673
"United Kingdom","Bilateral_members",18.712875648
"United Nations Conference on Trade and Development","Other",0.000534706
"United States","Bilateral_members",29.606189023
"Van Leer Foundation","Other",0.001560959
"Wellcome Trust","Other",0.239685155
"William and Flora Hewlett Foundation","Other",0.062440584
"World Diabetes Foundation","Other",0.00160738
"World Health Organisation","Multilateral_donors",0.014451128
"World Tourism Organisation","Multilateral_donors",0
