"recipient_iso","year","emergency_commitments"
"AFG",2008,748.739127
"AFG",2009,805.738637
"AFG",2010,660.204938
"AFG",2011,677.537103
"AFG",2012,671.140605
"AFG",2013,493.309418
"AFG",2014,470.226784
"AFG",2015,329.459525
"AFG",2016,630.802086
"AFG",2017,456.985746
"AFG",2018,517.683738
"AFG",2019,480.146806
"AFG",2020,470.805103
"AFG",2021,3712.770312
"AFG",2022,1868.548605
"AFG",2023,628.783338
"AFG",2024,882.28313
"AGO",2008,4.344509
"AGO",2009,2.70561
"AGO",2010,4.852341
"AGO",2011,4.582066
"AGO",2012,1.031825
"AGO",2013,11.741182
"AGO",2014,9.006225
"AGO",2015,4.289424
"AGO",2016,6.135436
"AGO",2017,32.042012
"AGO",2018,18.975578
"AGO",2019,19.052501
"AGO",2020,19.018391
"AGO",2021,14.366876
"AGO",2022,379.253142
"AGO",2023,119.790223
"AGO",2024,15.980512
"ALB",2008,29.9795
"ALB",2009,0.760614
"ALB",2010,2.091733
"ALB",2011,9.670919
"ALB",2012,1.758696
"ALB",2013,0.759116
"ALB",2014,0.628883
"ALB",2015,0.530462
"ALB",2016,2.513869
"ALB",2017,1.55786
"ALB",2018,8.145968
"ALB",2019,11.572091
"ALB",2020,239.872693
"ALB",2021,4.483602
"ALB",2022,22.566303
"ALB",2023,55.588924
"ALB",2024,11.554093
"ARG",2008,0.784874
"ARG",2009,0.520465
"ARG",2010,0.43329
"ARG",2011,24.554738
"ARG",2012,0.096377
"ARG",2013,0.422138
"ARG",2014,0.026991
"ARG",2015,0.24929
"ARG",2016,27.223968
"ARG",2017,11.605862
"ARG",2018,27.439453
"ARG",2019,6.537319
"ARG",2020,6.96492
"ARG",2021,2.359366
"ARG",2022,81.810906
"ARG",2023,156.100194
"ARG",2024,0.720564
"ARM",2008,1.260967
"ARM",2009,7.475095
"ARM",2010,5.89199
"ARM",2011,4.091163
"ARM",2012,3.841491
"ARM",2013,3.495559
"ARM",2014,2.802069
"ARM",2015,38.705919
"ARM",2016,54.634454
"ARM",2017,1.12802
"ARM",2018,1.317526
"ARM",2019,2.219103
"ARM",2020,8.276937
"ARM",2021,14.549608
"ARM",2022,8.74488
"ARM",2023,47.965384
"ARM",2024,29.328877
"ATG",2008,0
"ATG",2009,0.33025
"ATG",2010,0
"ATG",2011,0
"ATG",2012,0
"ATG",2013,0.245508
"ATG",2014,0.001427
"ATG",2015,0
"ATG",2016,0.010784
"ATG",2017,55.48592
"ATG",2018,9.632606
"ATG",2019,0
"ATG",2020,7.649685
"ATG",2021,0.003341
"ATG",2022,0
"ATG",2023,0
"ATG",2024,0
"AZE",2008,4.085086
"AZE",2009,4.262202
"AZE",2010,0.657786
"AZE",2011,41.583617
"AZE",2012,2.756873
"AZE",2013,1.256685
"AZE",2014,1.460743
"AZE",2015,1.219173
"AZE",2016,60.807128
"AZE",2017,0.053473
"AZE",2018,2.937937
"AZE",2019,2.849711
"AZE",2020,9.02969
"AZE",2021,7.643725
"AZE",2022,2.03729
"AZE",2023,2.930558
"AZE",2024,1.520056
"BDI",2008,89.918486
"BDI",2009,100.151587
"BDI",2010,58.490007
"BDI",2011,55.253165
"BDI",2012,36.541173
"BDI",2013,41.274297
"BDI",2014,24.397912
"BDI",2015,57.233241
"BDI",2016,70.699363
"BDI",2017,82.377757
"BDI",2018,74.448002
"BDI",2019,65.560032
"BDI",2020,87.381263
"BDI",2021,81.724793
"BDI",2022,142.59665
"BDI",2023,33.780053
"BDI",2024,187.09633
"BEN",2008,0.551174
"BEN",2009,0.450416
"BEN",2010,12.051245
"BEN",2011,41.391475
"BEN",2012,0.376653
"BEN",2013,1.187982
"BEN",2014,0.337858
"BEN",2015,3.624305
"BEN",2016,0.647802
"BEN",2017,0.735294
"BEN",2018,17.204341
"BEN",2019,3.017507
"BEN",2020,4.262316
"BEN",2021,200.28618
"BEN",2022,104.573713
"BEN",2023,76.660228
"BEN",2024,61.438305
"BFA",2008,16.435474
"BFA",2009,25.923453
"BFA",2010,46.204666
"BFA",2011,15.527483
