recipient_name;PVCCI
Angola;50.1273
Burundi;48.0584
Benin;52.4818
Burkina Faso;61.0921
Brazil;47.7489
Botswana;60.518
Central African Republic;48.7581
China;57.0413
Cote d'Ivoire;50.319
Cameroon;48.123
Congo, Dem. Rep.;47.7207
Congo, Rep;47.4197
Comoros;51.7074
Cape Verde;52.2066
Djibouti;62.9492
Algeria;61.7322
Egypt;61.9355
Eritrea;63.5896
Ethiopia;52.7395
Gabon;47.4932
Ghana;51.0627
Guinea;50.3481
Gambia;62.3799
Guinea-Bissau;51.9476
Equatorial Guinea;47.6916
India;60.1154
Kenya;57.4965
Liberia;46.2374
Libya;62.0084
Lesotho;50.428
Morocco;58.2297
Madagascar;61.1512
Mali;62.1091
Mozambique;55.5183
Mauritania;64.227
Mauritius;64.0352
Malawi;49.5407
Namibia;60.0393
Niger;64.7096
Nigeria;53.2557
Rwanda;47.7288
Sudan;66.2112
Senegal;61.1579
Sierra Leone;49.8606
Somalia;62.0888
South Sudan;57.5657
Sao Tome and Principe;45.2675
Swaziland;51.2864
Seychelles;54.4528
Chad;62.991
Togo;50.6999
Tunisia;60.4128
Tanzania;50.8192
Uganda;50.3564
South Africa;58.1001
Zambia;51.0725
Zimbabwe;57.4393
